SUBURB,PRICE,BEDROOMS,BATHROOMS,GARAGE,LAND_AREA,FLOOR_AREA,BUILD_YEAR,NEAREST_STN,NEAREST_SCH,NEAREST_SCH_DIST,MONTH_SOLD,YEAR_SOLD
Henley Brook,1470000,4,2,2,20019,269,1990,Woodbridge Station,SWAN VALLEY ANGLICAN COMMUNITY SCHOOL,2.848810699104358,10,2016
Mundijong,310000,4,2,2,20246,251,1992,Armadale Station,COURT GRAMMAR SCHOOL,2.4985289283610768,1,2004
Como,757500,3,2,1,1012,124,1954,Canning Bridge Station,COMO SECONDARY COLLEGE,1.0923707947975547,3,2020
Padbury,635000,4,2,2,684,231,1999,Whitfords Station,ST MARK'S ANGLICAN COMMUNITY SCHOOL,2.4278115231689865,11,2018
Hammond Park,920000,3,2,2,633,280,2012,Cockburn Central Station,ATWELL COLLEGE,3.000275357807232,6,2020
Carlisle,841500,5,2,3,518,300,1910,Carlisle Station,ST CLARE'S SCHOOL,1.0517484102117238,8,2020
Bibra Lake,497500,4,2,1,742,170,1992,Cockburn Central Station,LAKELAND SENIOR HIGH SCHOOL,1.2907939740554817,11,2016
Marangaroo,485000,4,2,2,593,184,1998,Greenwood Station,ASHDALE SECONDARY COLLEGE,1.442193845931542,2,2018
Port Kennedy,385000,4,2,2,599,220,2003,Warnbro Station,WARNBRO COMMUNITY HIGH SCHOOL,1.8630388586828293,9,2020
Doubleview,770000,3,2,2,220,172,2009,Stirling Station,INTERNATIONAL SCHOOL OF WESTERN AUSTRALIA,1.0261908643357092,11,2018
Kenwick,420000,3,1,2,1121,175,1914,Madding,REHOBOTH CHRISTIAN COLLEGE,0.8194051174484945,12,2016
Orelia,259000,3,1,1,770,110,1970,Kwinana Station,GILMORE COLLEGE,0.5905054863769568,5,2016
Mundijong,250000,2,1,2,912,58,1987,Armadale Station,COURT GRAMMAR SCHOOL,2.2341424455558894,9,2010
North Lake,565000,4,2,0,705,231,1995,Murdoch Station,LEEMING SENIOR HIGH SCHOOL,1.4555488424935077,11,2005
Butler,285000,3,2,2,240,137,2011,Butler Station,BUTLER COLLEGE,0.919077194976598,7,2019
Lathlain,700000,4,2,2,526,140,2000,Vic,URSULA FRAYNE CATHOLIC COLLEGE,0.3846573420087232,11,2014
Henley Brook,820000,3,3,2,740,219,2004,East Guildford Station,SWAN VALLEY ANGLICAN COMMUNITY SCHOOL,1.1336807128928534,2,2014
Carine,1100000,4,3,0,699,287,1977,Warwick Station,CARINE SENIOR HIGH SCHOOL,0.8871361981652478,12,2018
Iluka,1035000,4,3,2,640,306,2004,Currambine Station,PRENDIVILLE CATHOLIC COLLEGE,2.3646859193751344,6,2017
Highgate,990000,4,2,2,239,197,1998,East Perth Station,PERTH COLLEGE,0.971386874287955,11,2015
West Leederville,1615000,3,2,0,647,288,1913,West Leederville Station,PERTH MODERN SCHOOL,1.0268621939971652,11,2017
Lockridge,375000,4,1,2,734,103,1970,Success Hill Station,KIARA COLLEGE,1.7102454721659257,1,2017
Guildford,688000,3,1,2,430,122,1950,East Guildford Station,GUILDFORD GRAMMAR SCHOOL,0.7153029031161814,10,2019
Landsdale,508000,4,2,2,703,220,1996,Whitfords Station,LANDSDALE CHRISTIAN SCHOOL,0.6263649745041397,10,2018
Woodvale,633000,4,2,2,799,203,1989,Whitfords Station,WOODVALE SECONDARY COLLEGE,1.1828393510066684,9,2020
Byford,310000,4,2,2,400,150,2015,Armadale Station,BYFORD SECONDARY COLLEGE,0.9678070419258232,6,2019
Karawara,700000,4,2,2,559,223,2005,Canning Bridge Station,CANNING COLLEGE,1.1224091420413669,9,2016
Shoalwater,520000,4,2,2,330,263,1995,Rockingham Station,ROCKINGHAM SENIOR HIGH SCHOOL,1.9156993068907096,4,2018
Bassendean,925000,3,2,2,486,149,1930,Bassendean Station,CYRIL JACKSON SENIOR CAMPUS,0.7149701478330579,7,2019
Aveley,578000,4,2,2,670,256,1995,Woodbridge Station,SWAN VALLEY ANGLICAN COMMUNITY SCHOOL,1.364180442238699,5,2018
High Wycombe,445000,4,2,4,680,130,1994,Woodbridge Station,DARLING RANGE SPORTS COLLEGE,4.352783532338483,12,2019
Cockburn Central,300000,2,2,1,113,83,2012,Cockburn Central Station,EMMANUEL CATHOLIC COLLEGE,1.6231676295128878,10,2020
Viveash,232500,3,2,2,28135,88,2014,Midland Station,LA SALLE COLLEGE,0.2371813288395994,4,2013
Bedfordale,985000,5,2,2,69794,238,1981,Armadale Station,SOUTHERN HILLS CHRISTIAN COLLEGE,3.6120105359298575,6,2014
Sawyers Valley,435000,3,1,1,4970,132,1974,Midland Station,MUNDARING CHRISTIAN COLLEGE,1.4026692681291777,10,2008
Mahogany Creek,540000,3,2,0,4241,139,1974,Midland Station,MUNDARING CHRISTIAN COLLEGE,3.748058228573608,5,2012
Sawyers Valley,680000,4,2,6,19994,207,1985,Midland Station,EASTERN HILLS SENIOR HIGH SCHOOL,1.9769774482085951,11,2017
Mahogany Creek,695000,4,2,2,14428,200,1990,Midland Station,HELENA COLLEGE,4.317044792850115,3,2010
Glen Forrest,567000,3,1,2,2527,167,1975,Midland Station,HELENA COLLEGE,1.9309488249169289,8,2018
Carmel,100000,4,1,2,18368,192,2003,Madding,CARMEL ADVENTIST COLLEGE,1.757534969041804,3,2002
White Gum Valley,610000,3,1,3,462,103,1983,Fremantle Station,CHRISTIAN BROTHERS' COLLEGE,1.039467293058535,12,2014
East Cannington,495000,4,2,4,519,247,2007,Canning,SEVENOAKS SENIOR COLLEGE,0.871100714270124,3,2016
Carlisle,700000,4,2,2,443,187,2003,Carlisle Station,AUSTRALIAN ISLAMIC COLLEGE - KEWDALE,1.155034520072321,3,2017
Attadale,895000,4,2,0,524,172,1995,North Fremantle Station,SANTA MARIA COLLEGE,1.5682288420552948,12,2019
West Leederville,1375000,3,2,2,306,236,2012,West Leederville Station,PERTH MODERN SCHOOL,1.087823094859053,9,2020
Coogee,700000,4,3,2,715,293,1997,Cockburn Central Station,PORT SCHOOL,3.750741857369176,11,2018
Darch,730000,4,2,2,540,238,2014,Greenwood Station,ASHDALE SECONDARY COLLEGE,1.210310476381633,10,2019
Carramar,107500,4,2,2,601,161,1995,Currambine Station,JOSEPH BANKS SECONDARY COLLEGE,2.3327207497329665,10,2017
East Victoria Park,920000,4,2,2,431,161,1952,Oats Street Station,KENT STREET SENIOR HIGH SCHOOL,1.1228244078340892,8,2020
Southern River,457000,4,2,2,390,179,2011,Seaforth Station,SOUTHERN RIVER COLLEGE,1.3346929535807448,9,2020
East Victoria Park,910000,5,2,0,598,234,2003,Oats Street Station,KENT STREET SENIOR HIGH SCHOOL,0.6034366294937702,9,2020
Atwell,413000,3,2,2,378,175,2004,Cockburn Central Station,ATWELL COLLEGE,0.4362583574295128,2,2018
Dalkeith,1450000,4,4,2,1092,341,1996,Shen,SANTA MARIA COLLEGE,2.2679853840297968,10,2016
Golden Bay,495000,4,2,3,611,220,1995,Mandurah Station,COMET BAY COLLEGE,1.823485660641282,4,2019
Beechboro,447000,4,2,2,703,146,1991,Bayswater Station,KIARA COLLEGE,1.7041827363566393,6,2018
Cardup,345000,4,2,2,5482,251,1995,Kwinana Station,COURT GRAMMAR SCHOOL,3.676979141887753,11,2014
Wilson,930000,4,2,2,803,330,1997,Welshpool Station,FOUNTAIN COLLEGE,1.3300152726641736,11,2020
Cooloongup,240000,4,1,2,683,146,1985,Rockingham Station,KOLBE CATHOLIC COLLEGE,1.7978464429871366,4,2018
Mount Lawley,760000,3,2,1,715,143,1995,Maylands Station,PERTH COLLEGE,1.0877392378986128,2,2020
Craigie,385000,3,1,1,690,100,1995,Whitfords Station,BELRIDGE SECONDARY COLLEGE,2.3579006483933664,10,2019
Banjup,700000,4,2,2,20221,169,1989,Cockburn Central Station,ATWELL COLLEGE,3.2089195935220434,2,2018
Kensington,880000,3,1,3,769,128,1949,Carlisle Station,KENT STREET SENIOR HIGH SCHOOL,1.1067786910490267,7,2016
Gosnells,400000,4,2,2,961,135,2000,Gosnells Station,SOUTHERN RIVER COLLEGE,1.4052502997119012,12,2018
Queens Park,390000,3,2,0,433,131,2002,Canning,ST NORBERT COLLEGE,0.6841089152698355,8,2018
Bateman,975000,5,3,2,769,269,1972,Murdoch Station,CORPUS CHRISTI COLLEGE,0.17990781126623465,5,2015
Currambine,421500,4,2,2,520,210,1995,Currambine Station,PRENDIVILLE CATHOLIC COLLEGE,1.5848512045791372,4,2019
Shenton Park,920000,2,1,1,622,130,1945,Daglish Station,SHENTON COLLEGE,1.1170058128121965,2,2016
Mount Hawthorn,1065000,4,1,2,445,160,1925,Glendalough Station,ARANMORE CATHOLIC COLLEGE,1.1453176801270086,6,2017
Piara Waters,677000,4,1,0,576,238,2015,Cockburn Central Station,CAREY BAPTIST COLLEGE,3.587929395786143,12,2019
Watermans Bay,1000000,4,1,1,739,165,1995,Warwick Station,CARINE SENIOR HIGH SCHOOL,2.0233184242062765,7,2012
Padbury,450000,3,1,1,705,116,1995,Whitfords Station,DUNCRAIG SENIOR HIGH SCHOOL,1.7655272196770762,3,2018
Jandakot,890000,6,3,2,602,370,1995,Murdoch Station,LAKELAND SENIOR HIGH SCHOOL,1.7333350984383133,9,2013
Forrestfield,420000,4,2,0,764,144,1985,Madding,HERITAGE COLLEGE PERTH,1.9904760402019483,11,2018
Karawara,440000,4,2,2,617,230,2001,Canning Bridge Station,COMO SECONDARY COLLEGE,1.1606387588513687,8,2003
Martin,322000,4,2,2,603,226,2015,Seaforth Station,LUMEN CHRISTI COLLEGE,0.6526091135846421,3,2014
Mount Lawley,1185000,4,2,2,560,193,1940,Mount Lawley Station,PERTH COLLEGE,0.6011808983122469,9,2018
Haynes,185000,3,1,0,399,170,2015,Armadale Station,DALE CHRISTIAN SCHOOL,0.8692178557539693,8,2013
Parkwood,285000,3,1,3,733,121,1977,Thornlie Station,LYNWOOD SENIOR HIGH SCHOOL,0.6707799389546634,1,2020
Baskerville,515000,3,1,0,31313,200,1984,Midland Station,SWAN VALLEY ANGLICAN COMMUNITY SCHOOL,2.1858062680665338,8,2002
Redcliffe,408000,4,2,1,350,120,1997,Ashfield Station,BELMONT CITY COLLEGE,2.3802601020005185,11,2015
Champion Lakes,1010000,4,2,2,38800,294,1995,Challis Station,CECIL ANDREWS COLLEGE,2.5263099637306743,6,2011
Scarborough,739888,4,2,2,355,155,1970,Stirling Station,INTERNATIONAL SCHOOL OF WESTERN AUSTRALIA,1.3125020058267554,10,2020
Wattleup,1230000,4,2,0,20013,355,1994,Cockburn Central Station,EMMANUEL CATHOLIC COLLEGE,5.005184579797726,9,2013
Ballajura,350000,3,1,1,737,99,1989,Meltham Station,BALLAJURA COMMUNITY COLLEGE,0.9446322064567452,7,2019
Upper Swan,405000,4,2,2,4253,162,1978,Midland Station,SWAN VALLEY ANGLICAN COMMUNITY SCHOOL,4.496960085492088,10,2020
Ridgewood,370000,4,2,2,568,145,1995,Clarkson Station,ALKIMOS BAPTIST COLLEGE,1.4168548659628757,6,2020
Connolly,640000,4,2,2,477,167,1986,Joondalup Station,LAKE JOONDALUP BAPTIST COLLEGE,1.4509082489056093,2,2017
Madeley,610000,5,3,2,724,277,2005,Greenwood Station,KINGSWAY CHRISTIAN COLLEGE,0.5719764553742729,3,2019
Pearsall,495000,4,2,2,540,190,2006,Whitfords Station,ALTA-1,0.4906516490235005,6,2015
Ocean Reef,730000,4,2,2,873,267,1992,Joondalup Station,PRENDIVILLE CATHOLIC COLLEGE,0.9301141103719932,4,2020
Langford,415000,4,2,2,436,161,2004,Thornlie Station,LANGFORD ISLAMIC COLLEGE,0.3471012826629221,5,2020
Attadale,850000,3,2,2,580,185,1954,North Fremantle Station,SANTA MARIA COLLEGE,0.6480894428128146,9,2017
Harrisdale,448000,3,2,2,312,126,2012,Thornlie Station,CAREY BAPTIST COLLEGE,0.6161497423157629,11,2018
Burswood,875000,3,2,2,310,200,2006,Burswood Station,TRINITY COLLEGE,1.5384583163922458,11,2020
Dalkeith,2150000,5,2,2,1012,270,1950,Loch Street Station,METHODIST LADIES' COLLEGE,2.0285824670229724,12,2015
Herne Hill,1450000,5,2,5,30376,295,1994,Midland Station,SWAN CHRISTIAN COLLEGE,1.8360152474304037,12,2006
The Vines,515000,4,2,2,4262,219,1993,Midland Station,HOLY CROSS COLLEGE,2.5660409251684446,6,2020
Bedfordale,690000,5,3,2,8821,277,1995,Armadale Station,SOUTHERN HILLS CHRISTIAN COLLEGE,2.1840775976213327,3,2018
Waterford,1615000,5,3,3,712,415,1995,Canning Bridge Station,CLONTARF ABORIGINAL COLLEGE,0.2666126691749831,8,2012
Hocking,512000,4,2,2,619,221,2006,Edgewater Station,WANNEROO SECONDARY COLLEGE,0.908630269320002,9,2018
Scarborough,960000,4,2,2,529,194,1998,Stirling Station,INTERNATIONAL SCHOOL OF WESTERN AUSTRALIA,1.0018515574173816,12,2020
Viveash,227500,3,1,2,184,87,2014,Midland Station,LA SALLE COLLEGE,0.2296273356867132,10,2012
Herne Hill,295000,2,1,1,1620,92,1950,Midland Station,SWAN CHRISTIAN COLLEGE,3.8926563252073194,11,2015
Boya,660000,4,3,2,1323,256,1970,Midland Station,TREETOPS MONTESSORI SCHOOL,2.3111826666052564,7,2010
Sawyers Valley,660000,4,2,2,19994,204,1983,Midland Station,EASTERN HILLS SENIOR HIGH SCHOOL,2.1016825774295054,5,2012
Applecross,1017000,3,2,2,936,153,1972,Canning Bridge Station,APPLECROSS SENIOR HIGH SCHOOL,1.6815039973236354,10,2017
Brentwood,719000,4,2,2,350,200,2001,Bull Creek Station,CORPUS CHRISTI COLLEGE,1.3311216734106233,3,2016
Mosman Park,1100000,4,1,2,819,182,1972,Vic,IONA PRESENTATION COLLEGE,0.4603551742304834,4,2017
East Fremantle,745000,4,1,2,931,144,1995,North Fremantle Station,JOHN CURTIN COLLEGE OF THE ARTS,2.3483008040546687,10,2020
Melville,779000,4,2,2,452,184,1995,Bull Creek Station,MELVILLE SENIOR HIGH SCHOOL,0.4889591301370559,10,2020
Beaconsfield,700000,2,1,1,1042,111,1985,Fremantle Station,FREMANTLE COLLEGE,0.7245728211455551,9,2016
Booragoon,880000,4,2,2,367,248,2006,Bull Creek Station,APPLECROSS SENIOR HIGH SCHOOL,0.9634075037146488,6,2018
Sawyers Valley,550000,4,2,2,2000,188,1995,Midland Station,MUNDARING CHRISTIAN COLLEGE,2.0783598661734106,3,2015
Manning,873000,4,2,2,455,177,2002,Canning Bridge Station,COMO SECONDARY COLLEGE,0.7501266956559728,2,2016
Hilton,569000,4,2,2,497,156,2001,Fremantle Station,SETON CATHOLIC COLLEGE,0.7755206841340925,9,2017
Caversham,450000,3,2,2,321,190,1995,East Guildford Station,GOVERNOR STIRLING SENIOR HIGH SCHOOL,2.820767502065661,3,2017
Carramar,380000,4,2,2,451,147,2001,Currambine Station,JOSEPH BANKS SECONDARY COLLEGE,2.0945385291442085,9,2017
Riverton,795000,4,2,2,671,157,1987,Thornlie Station,LYNWOOD SENIOR HIGH SCHOOL,0.8068107889617028,6,2016
Ferndale,525000,4,2,4,732,272,1995,Queens Park Station,FOUNTAIN COLLEGE,1.337513337274636,6,2019
Riverton,780000,4,2,2,405,260,2010,Bull Creek Station,ROSSMOYNE SENIOR HIGH SCHOOL,1.4362198466015643,8,2016
Bateman,530000,4,2,1,958,115,1989,Bull Creek Station,CORPUS CHRISTI COLLEGE,0.7931855700373026,1,2020
Claremont,1448888,3,2,2,414,153,1986,Claremont Station,CHRIST CHURCH GRAMMAR SCHOOL,0.662480301523014,1,2020
Booragoon,650000,3,2,1,546,145,1981,Bull Creek Station,APPLECROSS SENIOR HIGH SCHOOL,1.344033638473907,5,2017
Manning,1040000,4,3,2,933,219,2015,Canning Bridge Station,AQUINAS COLLEGE,1.2759762349234405,9,2018
Lynwood,450000,3,2,2,658,135,1995,Queens Park Station,FOUNTAIN COLLEGE,1.0622553006606548,8,2017
Cottesloe,1490000,3,2,2,170,134,1995,Cottesloe Station,PRESBYTERIAN LADIES COLLEGE,1.1051355051627911,6,2018
Joondalup,350000,3,2,1,962,95,1990,Currambine Station,LAKE JOONDALUP BAPTIST COLLEGE,1.5745663825331881,6,2019
Mount Pleasant,1740000,5,3,2,514,336,2012,Bull Creek Station,AQUINAS COLLEGE,1.2697258877593758,8,2018
Manning,590000,3,2,1,359,131,1993,Canning Bridge Station,COMO SECONDARY COLLEGE,0.4605691683710629,9,2020
Waterford,860000,3,2,2,477,154,1993,Canning Bridge Station,CLONTARF ABORIGINAL COLLEGE,0.9065301353853452,8,2016
Myaree,695000,3,2,2,482,210,2004,Bull Creek Station,MELVILLE SENIOR HIGH SCHOOL,0.7907206458315755,7,2017
Manning,915000,4,2,2,411,161,1958,Canning Bridge Station,COMO SECONDARY COLLEGE,1.19796899256917,4,2017
Ardross,1210000,3,2,3,491,267,1999,Canning Bridge Station,APPLECROSS SENIOR HIGH SCHOOL,0.6629694710854747,11,2019
Watermans Bay,1400000,4,2,2,455,228,2010,Warwick Station,CARINE SENIOR HIGH SCHOOL,1.7076959787275299,4,2016
Attadale,1130000,4,2,2,429,248,2012,North Fremantle Station,MELVILLE SENIOR HIGH SCHOOL,1.7371653109387457,7,2019
Melville,680000,4,2,5,591,175,2004,Bull Creek Station,MELVILLE SENIOR HIGH SCHOOL,0.5352948193560431,3,2019
Balga,340000,3,2,2,247,112,2012,Warwick Station,BALGA SENIOR HIGH SCHOOL,0.6047681670989276,4,2018
Marmion,975000,4,2,2,449,232,1990,Warwick Station,SACRED HEART COLLEGE,1.9881052555165344,5,2012
Rossmoyne,990000,4,2,2,734,220,2006,Bull Creek Station,ROSSMOYNE SENIOR HIGH SCHOOL,0.2974511887350406,3,2014
Greenwood,332000,2,1,1,1080,82,1976,Greenwood Station,GREENWOOD COLLEGE,0.32714983500396866,2,2019
Doubleview,822000,4,2,4,667,197,1999,Stirling Station,INTERNATIONAL SCHOOL OF WESTERN AUSTRALIA,0.7316684997928243,3,2019
Darlington,637500,4,2,2,2374,166,1983,Midland Station,TREETOPS MONTESSORI SCHOOL,1.1268008865383927,2,2019
Mullaloo,1100000,3,2,2,465,247,2009,Edgewater Station,ST MARK'S ANGLICAN COMMUNITY SCHOOL,1.5096502060841324,8,2016
Daglish,760000,3,2,2,308,120,1996,Shen,SHENTON COLLEGE,0.6131480807203024,9,2008
Manning,840050,4,2,2,410,197,2015,Canning Bridge Station,AQUINAS COLLEGE,0.9225719112929718,6,2017
Glendalough,640000,4,1,1,852,125,1990,Glendalough Station,BOLD PARK COMMUNITY SCHOOL,0.2988395147581824,9,2015
Bateman,640000,3,2,2,532,146,1987,Bull Creek Station,CORPUS CHRISTI COLLEGE,0.6940463788638862,11,2015
Yanchep,545000,3,2,2,1115,225,2000,Butler Station,YANCHEP SECONDARY COLLEGE,1.1345141161393513,4,2020
Woodbridge,445000,3,2,2,576,135,2004,Woodbridge Station,GOVERNOR STIRLING SENIOR HIGH SCHOOL,0.8426468130713796,11,2011
Langford,408000,3,1,1,1267,96,1978,Thornlie Station,LANGFORD ISLAMIC COLLEGE,0.7413666312896292,10,2014
Bateman,723000,3,2,2,582,183,2002,Bull Creek Station,CORPUS CHRISTI COLLEGE,1.0987771924525684,1,2018
Bassendean,430000,3,1,0,264,115,1989,Success Hill Station,CYRIL JACKSON SENIOR CAMPUS,2.123954449181426,6,2020
Harrisdale,365000,3,2,1,255,115,2010,Cockburn Central Station,CAREY BAPTIST COLLEGE,2.35419386177646,11,2017
Woodlands,836000,3,2,0,480,146,2003,Stirling Station,CHURCHLANDS SENIOR HIGH SCHOOL,0.8127062073170874,8,2017
Ferndale,420000,2,1,3,1250,74,1981,Queens Park Station,FOUNTAIN COLLEGE,1.2379134184574203,4,2015
Nollamara,367500,3,2,2,291,127,2003,Stirling Station,DIANELLA SECONDARY COLLEGE,1.2621055954575673,6,2020
Guildford,560000,3,1,1,388,120,1979,Guildford Station,GUILDFORD GRAMMAR SCHOOL,1.631227444001865,3,2013
Salter Point,980000,4,2,5,472,170,1999,Canning Bridge Station,AQUINAS COLLEGE,1.1888775473052744,1,2018
Doubleview,1000000,4,2,4,616,220,2000,Stirling Station,INTERNATIONAL SCHOOL OF WESTERN AUSTRALIA,0.7395457004924509,3,2019
Embleton,550000,4,2,2,309,177,2014,Bayswater Station,JOHN FORREST SECONDARY COLLEGE,1.0961000979384086,9,2018
Hazelmere,575000,3,2,5,1124,170,2002,Woodbridge Station,YOUTH FUTURES COMMUNITY SCHOOL,1.4126092904788934,2,2015
Booragoon,562000,3,2,1,1449,130,1995,Bull Creek Station,APPLECROSS SENIOR HIGH SCHOOL,1.9107637268672868,11,2016
South Lake,405000,3,1,1,588,106,1993,Murdoch Station,LAKELAND SENIOR HIGH SCHOOL,1.3369003219810809,11,2015
South Lake,359000,3,1,2,575,90,1986,Cockburn Central Station,LAKELAND SENIOR HIGH SCHOOL,1.1716635307774346,6,2017
Caversham,415000,3,2,2,292,184,1995,East Guildford Station,GOVERNOR STIRLING SENIOR HIGH SCHOOL,2.820767502065661,5,2017
Ashby,387000,3,2,2,573,110,2010,Joondalup Station,WANNEROO SECONDARY COLLEGE,2.5995184542116903,12,2013
Alfred Cove,700000,3,1,2,608,145,1993,Bull Creek Station,APPLECROSS SENIOR HIGH SCHOOL,1.726505921700194,12,2015
Brentwood,549000,3,1,1,420,104,1990,Bull Creek Station,CORPUS CHRISTI COLLEGE,1.5061038951680614,4,2016
Lathlain,778000,4,3,2,320,267,2001,Vic,ST CLARE'S SCHOOL,0.4175519115756194,8,2016
Mirrabooka,237500,3,1,1,831,87,1995,Warwick Station,MERCY COLLEGE,0.758003834065693,2,2019
Landsdale,396000,3,1,2,286,120,2012,Greenwood Station,ASHDALE SECONDARY COLLEGE,1.5179774611267574,1,2020
Redcliffe,405000,3,2,2,281,113,2007,Ashfield Station,CYRIL JACKSON SENIOR CAMPUS,2.567586665704636,1,2018
Mount Pleasant,1405000,3,2,2,556,267,2007,Canning Bridge Station,AQUINAS COLLEGE,1.7739152118721095,11,2018
Peppermint Grove,1875000,5,3,2,1090,260,1978,Cottesloe Station,ST HILDA'S ANGLICAN SCHOOL FOR GIRLS,0.6885641524836861,3,2017
Safety Bay,235000,3,1,1,457,85,1988,Rockingham Station,SAFETY BAY SENIOR HIGH SCHOOL,0.240672899718592,4,2018
South Lake,279000,3,1,1,1146,95,1989,Cockburn Central Station,LAKELAND SENIOR HIGH SCHOOL,0.9993809833474748,3,2020
Greenwood,435000,3,1,2,1466,102,1977,Warwick Station,WARWICK SENIOR HIGH SCHOOL,0.9308590329847071,2,2018
Yangebup,320000,3,1,2,1036,99,1988,Cockburn Central Station,DIVINE MERCY COLLEGE,1.162691793602084,9,2020
Carine,525000,3,2,2,288,162,1986,Warwick Station,CARINE SENIOR HIGH SCHOOL,0.9764830924023512,6,2017
Mount Pleasant,1925000,4,3,2,512,341,2005,Canning Bridge Station,AQUINAS COLLEGE,1.0805932022650162,6,2020
Claremont,850000,3,2,2,439,129,1997,Loch Street Station,JOHN XXIII COLLEGE,1.3122825011993964,7,2018
Ferndale,402000,2,1,2,1250,74,1981,Queens Park Station,FOUNTAIN COLLEGE,1.2379134184574203,6,2015
Sorrento,825000,3,2,2,994,152,1990,Greenwood Station,DUNCRAIG SENIOR HIGH SCHOOL,0.9947376126935537,7,2020
Salter Point,955000,3,2,3,425,162,1986,Canning Bridge Station,AQUINAS COLLEGE,0.7521857296000032,9,2014
Greenwood,435000,3,2,2,1099,95,1995,Greenwood Station,GREENWOOD COLLEGE,0.5516068500289184,9,2018
Alexander Heights,440000,3,2,2,277,152,2009,Warwick Station,BALLAJURA COMMUNITY COLLEGE,2.170173302997499,8,2017
Balcatta,438500,3,2,2,807,145,2012,Stirling Station,BALCATTA SENIOR HIGH SCHOOL,1.6664085643062947,3,2018
Palmyra,530000,3,2,2,260,118,2008,North Fremantle Station,MELVILLE SENIOR HIGH SCHOOL,1.7001324012845247,3,2020
East Cannington,494000,4,2,0,311,141,2014,Beckenham Station,ST NORBERT COLLEGE,1.7940235830902664,9,2015
Carlisle,487500,3,2,2,261,134,2002,Carlisle Station,ST CLARE'S SCHOOL,0.3337401974803013,11,2018
Carlisle,475000,3,2,2,305,186,2005,Carlisle Station,ST CLARE'S SCHOOL,0.9580313769900596,1,2020
Kelmscott,535000,3,2,2,561,188,2004,Kelmscott Station,JOHN WOLLASTON ANGLICAN COMMUNITY SCHOOL,1.4439681315374775,11,2017
Waikiki,440000,3,2,2,702,184,1984,Warnbro Station,SAFETY BAY SENIOR HIGH SCHOOL,1.352996032375542,8,2019
Leeming,785000,4,2,4,871,212,1980,Murdoch Station,LEEMING SENIOR HIGH SCHOOL,1.1653179849547517,11,2020
Yangebup,417000,3,2,3,773,250,1995,Cockburn Central Station,DIVINE MERCY COLLEGE,1.2944308434484029,12,2017
Quinns Rocks,691000,4,2,2,691,245,2000,Butler Station,ALKIMOS BAPTIST COLLEGE,1.5441358361358126,3,2018
Hillarys,1365000,4,2,2,827,325,1998,Whitfords Station,ST MARK'S ANGLICAN COMMUNITY SCHOOL,1.1550579203466784,7,2019
Watermans Bay,2350000,3,2,3,451,352,1995,Warwick Station,CARINE SENIOR HIGH SCHOOL,2.218368938106495,8,2016
Kingsley,665000,4,2,2,788,182,1982,Greenwood Station,THE MONTESSORI SCHOOL,0.6457196226334815,5,2020
Wattle Grove,491000,4,2,2,447,181,2012,Madding,REHOBOTH CHRISTIAN COLLEGE,3.3961285218423,1,2019
Merriwa,270000,4,1,2,586,102,1993,Butler Station,ALKIMOS BAPTIST COLLEGE,0.6193418499420588,5,2017
Safety Bay,595000,4,2,4,914,245,1995,Rockingham Station,SAFETY BAY SENIOR HIGH SCHOOL,0.848558597840224,12,2019
Port Kennedy,320000,4,2,2,560,158,2003,Warnbro Station,WARNBRO COMMUNITY HIGH SCHOOL,1.0648111990923264,9,2019
Bellevue,347000,3,1,1,776,95,1970,Midland Station,SWAN VIEW SENIOR HIGH SCHOOL,1.4153468360682795,7,2013
Ballajura,850000,5,3,2,900,307,1993,Maylands Station,BALLAJURA COMMUNITY COLLEGE,0.6928488537950405,7,2019
Floreat,1244000,4,1,2,830,188,1965,Loch Street Station,NEWMAN COLLEGE,0.9736134505021504,3,2020
Stratton,180000,3,1,1,433,119,1992,Midland Station,SWAN VIEW SENIOR HIGH SCHOOL,2.2595747457329303,2,2020
Aveley,507500,5,2,2,708,280,2007,East Guildford Station,SWAN VALLEY ANGLICAN COMMUNITY SCHOOL,0.8780863796846087,10,2019
Darch,531000,4,2,2,562,204,2006,Greenwood Station,ASHDALE SECONDARY COLLEGE,1.1437078857647651,7,2018
Walliston,440000,3,1,1,873,115,1970,Madding,ST BRIGID'S COLLEGE,1.5477674919088271,5,2011
Clarkson,345000,3,2,2,225,104,2014,Clarkson Station,YOUTH FUTURES COMMUNITY SCHOOL,0.3357371619395007,9,2018
Secret Harbour,510000,4,2,3,677,215,2006,Warnbro Station,COMET BAY COLLEGE,0.6907077773826593,11,2020
Koongamia,245000,4,2,1,821,151,1993,Midland Station,SWAN VIEW SENIOR HIGH SCHOOL,2.021981972994868,6,2005
Wandi,458000,3,2,4,300,141,1995,Kwinana Station,ATWELL COLLEGE,5.1873958795981086,11,2015
Eglinton,400000,4,2,2,378,154,2014,Butler Station,YANCHEP SECONDARY COLLEGE,5.549761975707584,4,2020
Harrisdale,403000,4,2,2,423,140,2010,Cockburn Central Station,CAREY BAPTIST COLLEGE,1.3832108995483203,11,2018
Tapping,480000,4,2,2,572,230,2006,Currambine Station,JOSEPH BANKS SECONDARY COLLEGE,2.1218895283189867,8,2017
Seville Grove,414000,4,2,2,710,185,1998,Sherwood Station,CECIL ANDREWS COLLEGE,1.0972616730833606,4,2017
